2026-06-16 17:05:49 | INFO    | __main__ | PIPELINE COMPLETE in 20.0s
2026-06-16 17:06:30 | INFO    | __main__ | ───── Phase 1: SCRAPE ─────
2026-06-16 17:06:30 | INFO    | src.scraper.orchestrator | OFFLINE mode — generating synthetic NJ listings
2026-06-16 17:06:30 | INFO    | src.scraper.synthetic | synthetic generator produced 6017 listings across 21 counties
2026-06-16 17:06:30 | INFO    | src.scraper.orchestrator | deduplication: 6017 → 6017 rows
2026-06-16 17:06:30 | INFO    | src.scraper.orchestrator | wrote raw scrape: {'csv': PosixPath('/home/claude/nj-housing-pricing-model/data/raw/nj_housing_raw_20260616_170630.csv'), 'parquet': PosixPath('/home/claude/nj-housing-pricing-model/data/raw/nj_housing_raw_20260616_170630.parquet')}
2026-06-16 17:06:30 | INFO    | __main__ | ───── Phase 2: CLEAN ─────
2026-06-16 17:06:30 | INFO    | src.cleaning.clean | loaded raw: 6017 rows × 17 cols
2026-06-16 17:06:30 | INFO    | src.cleaning.clean | cleaned: 6012 rows → /home/claude/nj-housing-pricing-model/data/interim/nj_housing_clean.parquet
2026-06-16 17:06:30 | INFO    | src.cleaning.clean | wrote data-quality report: /home/claude/nj-housing-pricing-model/reports/data_quality_report.md
2026-06-16 17:06:30 | INFO    | __main__ | clean metrics: {'input_rows': 6017, 'duplicates_removed': 0, 'price_outliers_removed': 5, 'invalid_zips_dropped': 0, 'invalid_counties_dropped': 0, 'output_rows': 6012, 'completeness_pct': 95.80089820359281}
2026-06-16 17:06:30 | INFO    | __main__ | ───── Phase 3: GEOCODE ─────
2026-06-16 17:06:30 | INFO    | src.geocoding.geocode | geocoded: 6012 rows → /home/claude/nj-housing-pricing-model/data/interim/nj_housing_geocoded.parquet
2026-06-16 17:06:30 | INFO    | __main__ | ───── Phase 4: SEGMENT ─────
2026-06-16 17:06:31 | INFO    | src.segmentation.segment | ZIP clusters: 109 unique (incl. small-zip fallbacks)
2026-06-16 17:06:31 | INFO    | src.segmentation.segment | corridor breakdown:
corridor
Other                    2454
NYC Corridor             2095
Philadelphia Corridor    1463
2026-06-16 17:06:31 | INFO    | src.segmentation.segment | segmented: 6012 rows → /home/claude/nj-housing-pricing-model/data/processed/nj_housing_segmented.parquet
2026-06-16 17:06:31 | INFO    | __main__ | ───── Phase 5: PRICING ANALYTICS ─────
2026-06-16 17:06:31 | INFO    | src.pricing.pricing_analytics | [county] wrote 21 rows → /home/claude/nj-housing-pricing-model/data/processed/pricing_by_county.csv
2026-06-16 17:06:32 | INFO    | src.pricing.pricing_analytics | [municipality] wrote 112 rows → /home/claude/nj-housing-pricing-model/data/processed/pricing_by_municipality.csv
2026-06-16 17:06:37 | INFO    | src.pricing.pricing_analytics | [zip_cluster] wrote 598 rows → /home/claude/nj-housing-pricing-model/data/processed/pricing_by_zip_cluster.csv
2026-06-16 17:06:37 | INFO    | src.pricing.pricing_analytics | building final pricing matrix
2026-06-16 17:06:37 | INFO    | src.pricing.pricing_analytics | wrote pricing matrix (598 markets × 17 cells) → /home/claude/nj-housing-pricing-model/outputs/pricing_matrix.csv
2026-06-16 17:06:37 | INFO    | __main__ | ───── Phase 6: HEDONIC MODEL ─────
2026-06-16 17:06:38 | INFO    | src.modeling.hedonic_model | wrote model evaluation report → /home/claude/nj-housing-pricing-model/reports/model_evaluation_report.md
2026-06-16 17:06:38 | INFO    | __main__ | model results: {'linear': {'test_metrics': {'MAE': 105988.82680770509, 'RMSE': 226508.2407167758, 'R2': 0.47349720594337974}, 'cv_r2_mean': 0.4196867101322107, 'cv_r2_std': 0.21206984549623412, 'cv_mae_mean': 108934.29270332039}, 'ridge': {'best_alpha': 100.0, 'test_metrics': {'MAE': 100739.12584138756, 'RMSE': 220999.33321578224, 'R2': 0.4987959252601333}, 'cv_r2_mean': 0.40879456521854796}}
2026-06-16 17:06:38 | INFO    | __main__ | ───── Phase 7: CLUSTERING ─────
2026-06-16 17:06:39 | INFO    | src.modeling.clustering | k-means: chose k=4 (elbow scan over [2, 8])
2026-06-16 17:06:39 | INFO    | src.modeling.clustering | clustered: 6012 rows → /home/claude/nj-housing-pricing-model/data/processed/listings_with_tier.parquet
2026-06-16 17:06:39 | INFO    | __main__ | ───── Phase 8: CHARTS ─────
2026-06-16 17:06:41 | INFO    | src.visualization.charts | wrote 8 chart files to /home/claude/nj-housing-pricing-model/reports/figures
2026-06-16 17:06:41 | INFO    | __main__ | ───── Phase 9: MAP ─────
2026-06-16 17:06:41 | WARNING | src.visualization.map | no county GeoJSON at /home/claude/nj-housing-pricing-model/data/external/nj_counties.geojson — falling back to centroid markers only
2026-06-16 17:06:49 | INFO    | src.visualization.map | wrote interactive map: /home/claude/nj-housing-pricing-model/outputs/nj_housing_map.html
2026-06-16 17:06:49 | INFO    | __main__ | ───── Phase 10: DECK ─────
2026-06-16 17:06:49 | INFO    | src.reporting.deck | wrote summary deck: /home/claude/nj-housing-pricing-model/reports/summary_deck.pptx
2026-06-16 17:06:49 | INFO    | __main__ | PIPELINE COMPLETE in 19.2s
2026-06-16 17:10:15 | INFO    | src.reporting.deck | wrote summary deck: /home/claude/nj-housing-pricing-model/reports/summary_deck.pptx
2026-06-17 00:06:59 | INFO    | __main__ | ───── Phase 1: SCRAPE ─────
2026-06-17 00:06:59 | INFO    | src.scraper.orchestrator | OFFLINE mode — generating synthetic NJ listings
2026-06-17 00:07:00 | INFO    | src.scraper.synthetic | synthetic generator produced 6017 listings across 21 counties
2026-06-17 00:07:00 | INFO    | src.scraper.orchestrator | deduplication: 6017 → 6017 rows
2026-06-17 00:07:00 | INFO    | src.scraper.orchestrator | wrote raw scrape: {'csv': PosixPath('/home/arundatinair/nj-housing-pricing-model/data/raw/nj_housing_raw_20260616_183700.csv'), 'parquet': PosixPath('/home/arundatinair/nj-housing-pricing-model/data/raw/nj_housing_raw_20260616_183700.parquet')}
2026-06-17 00:07:00 | INFO    | __main__ | ───── Phase 2: CLEAN ─────
2026-06-17 00:07:00 | INFO    | src.cleaning.clean | loaded raw: 6017 rows × 17 cols
2026-06-17 00:07:00 | INFO    | src.cleaning.clean | cleaned: 6012 rows → /home/arundatinair/nj-housing-pricing-model/data/interim/nj_housing_clean.parquet
2026-06-17 00:07:00 | INFO    | src.cleaning.clean | wrote data-quality report: /home/arundatinair/nj-housing-pricing-model/reports/data_quality_report.md
2026-06-17 00:07:00 | INFO    | __main__ | clean metrics: {'input_rows': 6017, 'duplicates_removed': 0, 'price_outliers_removed': 5, 'invalid_zips_dropped': 0, 'invalid_counties_dropped': 0, 'output_rows': 6012, 'completeness_pct': 95.80089820359281}
2026-06-17 00:07:00 | INFO    | __main__ | ───── Phase 3: GEOCODE ─────
2026-06-17 00:07:00 | INFO    | src.geocoding.geocode | geocoded: 6012 rows → /home/arundatinair/nj-housing-pricing-model/data/interim/nj_housing_geocoded.parquet
2026-06-17 00:07:00 | INFO    | __main__ | ───── Phase 4: SEGMENT ─────
